name,height,reach,stance,dob,url,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,num_fights
Caio Borralho,"6' 1""","75""",Southpaw,16-Jan-93,http://ufcstats.com/fighter-details/4126a78111c0855a,2.91,60,2.06,60,1.99,63,76,0.5,0
Paul Craig,"6' 3""","76""",Orthodox,27-Nov-87,http://ufcstats.com/fighter-details/eabf206b162b3b83,2.45,46,2.97,44,1.68,20,37,1.6,0
Joanderson Brito,"5' 8""","72""",Orthodox,11-Feb-95,http://ufcstats.com/fighter-details/791c8437b341fba5,3.35,51,2.65,46,3.11,76,62,0.6,0
Jack Shore,"5' 8""","71""",Orthodox,06-Feb-95,http://ufcstats.com/fighter-details/b8a85389d115e35a,3.75,58,2.32,56,3.1,38,76,0.7,0
Iasmin Lucindo,"5' 3""","66""",Orthodox,08-Jan-02,http://ufcstats.com/fighter-details/abcf2cc6efc42031,3.95,46,3.11,66,2.23,53,80,0.3,0
Karolina Kowalkiewicz,"5' 3""","64""",Orthodox,15-Oct-85,http://ufcstats.com/fighter-details/d7c3816669784109,5.71,43,5.55,58,0.34,23,73,0.2,0
Myktybek Orolbai,"5' 10""","74""",Orthodox,10-Feb-98,http://ufcstats.com/fighter-details/bf2c8e01b07d3eb1,3.02,52,2.56,47,7.44,44,50,0.6,0
Elves Brener,"5' 10""","72""",Orthodox,27-Sep-97,http://ufcstats.com/fighter-details/48a9a128784d53d1,4.19,47,4.82,52,1.59,31,75,0,0
Drakkar Klose,"5' 9""","70""",Orthodox,09-Mar-88,http://ufcstats.com/fighter-details/7cbf7c78d3b34218,4.37,55,3.46,51,1.58,26,69,0,0
Joaquim Silva,"5' 8""","69""",Southpaw,05-Feb-89,http://ufcstats.com/fighter-details/ae7fe94f117f98cf,3.66,43,4.53,53,0.39,50,69,0.8,0
Mauricio Ruffy,"5' 11""","75""",Orthodox,17-Jun-96,http://ufcstats.com/fighter-details/9c393e836a852f30,4.88,59,3.8,59,0,0,100,0,0
Jamie Mullarkey,"6' 0""","74""",Orthodox,17-Aug-94,http://ufcstats.com/fighter-details/af9f42e6894047fc,4.39,46,4.53,53,2.31,34,78,0.1,0
Dione Barbosa,"5' 6""","66""",Orthodox,08-May-92,http://ufcstats.com/fighter-details/27b388f0aab49780,2.2,54,2.86,66,2.3,25,0,3.1,0
Ernesta Kareckaite,"5' 9""","71""",Orthodox,05-Jul-98,http://ufcstats.com/fighter-details/e4faa79383c9f214,7.9,42,6.9,43,1,66,86,0,0
Ismael Bonfim,"5' 8""","71""",Orthodox,28-Dec-95,http://ufcstats.com/fighter-details/eb393afdbe3293d5,5.8,54,3.16,70,1.07,33,76,0,0
Vinc Pichel,"5' 10""","72""",Orthodox,23-Nov-82,http://ufcstats.com/fighter-details/c77a953488e5607d,3.62,46,3.05,55,2.78,54,25,0.2,0
Alessandro Costa,"5' 4""","67""",Orthodox,28-Jan-96,http://ufcstats.com/fighter-details/3fa97913cfd205d3,4.14,47,3.5,57,0.27,12,90,0,0
Kevin Borjas,"5' 5""","68""",Orthodox,06-Dec-97,http://ufcstats.com/fighter-details/34b96d52db1d26e6,4.92,40,6.7,49,0,0,61,0,0
Alex Perez,"5' 6""","65""",Orthodox,21-Mar-92,http://ufcstats.com/fighter-details/ab2b4ff41d6ebe0f,4.1,45,3.13,59,2.06,44,82,0.9,0
Matheus Nicolau,"5' 6""","66""",Orthodox,06-Jan-93,http://ufcstats.com/fighter-details/1a31ef98efce7a79,3.62,52,3.19,66,1.38,45,93,0.8,0
